whale,n_total,n_label
whale_48813,22,16
whale_09913,4,4
whale_45062,11,7
whale_74162,9,8
whale_99558,15,12
whale_59255,17,14
whale_87291,22,20
whale_33152,15,10
whale_88147,10,9
whale_77693,19,14
whale_74625,9,9
whale_06069,15,13
whale_62939,5,5
whale_67036,18,13
whale_78785,12,12
whale_75682,3,3
whale_08017,24,21
whale_23574,9,8
whale_46169,12,8
whale_11242,20,17
whale_03227,21,17
whale_24815,18,12
whale_36231,15,14
whale_89615,24,23
whale_64989,14,11
whale_52342,19,14
whale_63948,12,7
whale_80947,12,10
whale_80247,17,15
whale_11076,20,16
whale_70138,22,14
whale_07863,9,9
whale_36300,9,6
whale_64634,19,12
whale_22448,14,12
whale_68116,23,20
whale_30331,20,17
whale_64006,5,5
whale_54796,1,1
whale_48415,17,15
whale_09181,13,11
whale_86041,11,10
whale_81818,6,6
whale_99573,10,9
whale_47734,15,13
whale_58010,10,10
whale_23525,20,16
whale_48490,12,8
whale_02411,12,10
whale_08439,13,10
whale_08181,16,13
whale_78280,24,19
whale_23847,18,14
whale_29569,13,11
whale_67685,12,10
whale_49530,10,8
whale_48386,12,10
whale_49491,3,3
whale_39915,20,7
whale_38008,18,13
whale_50021,15,14
whale_81875,15,13
whale_10977,12,9
whale_82548,19,19
whale_36154,12,9
whale_85670,10,8
whale_23367,5,3
whale_98645,15,8
whale_87155,16,15
whale_59173,19,11
whale_74683,4,2
whale_76782,10,9
whale_73592,13,9
whale_00195,14,9
whale_43971,18,10
whale_79439,8,7
whale_53079,17,15
whale_52505,19,18
whale_97882,4,4
whale_95370,47,40
whale_94176,6,4
whale_63541,10,7
whale_70904,8,8
whale_28892,33,29
whale_16738,5,5
whale_05487,3,3
whale_83892,18,15
whale_57251,3,3
whale_72820,19,19
whale_98996,7,6
whale_12820,13,11
whale_66852,18,14
whale_27085,4,4
whale_90820,13,10
whale_23821,20,17
whale_06339,20,16
whale_83791,8,6
whale_37154,14,12
whale_87622,8,7
whale_40169,18,17
whale_15079,7,6
whale_52749,26,21
whale_11708,4,4
whale_82064,9,8
whale_60729,9,8
whale_17604,21,16
whale_28263,10,8
whale_19906,8,6
whale_34656,24,22
whale_61461,21,18
whale_96385,9,7
whale_73684,10,8
whale_23118,3,3
whale_87604,21,18
whale_37654,10,7
whale_39689,11,11
whale_26288,22,19
whale_37658,13,11
whale_55550,9,8
whale_69459,16,12
whale_90929,2,1
whale_35594,19,19
whale_41125,15,12
whale_79823,23,19
whale_46974,4,3
whale_35844,18,15
whale_03623,9,5
whale_18989,12,9
whale_47700,13,11
whale_37269,12,9
whale_85464,28,24
whale_53580,10,9
whale_38681,43,36
whale_54574,15,13
whale_44127,8,7
whale_73080,11,8
whale_61260,6,5
whale_48966,22,20
whale_64714,16,15
whale_55079,20,16
whale_98939,7,7
whale_26397,17,12
whale_91826,9,7
whale_64496,17,13
whale_17785,19,16
whale_73136,18,15
whale_49237,6,6
whale_68789,6,6
whale_20448,9,8
whale_31594,15,11
whale_27820,6,5
whale_19041,14,13
whale_06334,10,9
whale_32087,18,15
whale_82089,16,13
whale_74439,15,13
whale_60921,18,16
whale_65057,13,11
whale_75932,18,10
whale_97542,6,4
whale_02839,2,2
whale_36851,30,23
whale_25878,17,12
whale_15434,6,6
whale_89211,10,9
whale_09454,11,10
whale_29172,4,3
whale_08637,9,7
whale_35426,4,2
whale_86377,14,8
whale_51538,16,11
whale_66711,10,5
whale_80405,11,9
whale_05349,15,9
whale_97688,15,14
whale_09651,20,17
whale_26686,13,11
whale_54920,7,7
whale_90271,14,12
whale_36437,16,14
whale_65586,27,20
whale_33723,9,7
whale_79648,6,6
whale_09062,4,4
whale_59627,5,4
whale_97924,3,2
whale_38817,4,4
whale_05661,15,14
whale_11555,14,14
whale_13288,13,12
whale_49135,10,9
whale_92465,4,3
whale_90957,30,15
whale_12074,13,11
whale_34488,15,12
whale_79166,12,10
whale_33140,18,13
whale_86206,9,8
whale_82554,15,12
whale_26654,6,6
whale_22297,5,5
whale_95831,8,6
whale_15519,6,6
whale_38288,16,13
whale_72327,17,13
whale_90911,19,17
whale_10005,9,7
whale_38894,12,11
whale_03103,2,1
whale_81136,13,11
whale_84178,14,11
whale_95091,23,21
whale_39293,12,10
whale_64299,1,1
whale_54850,3,3
whale_38191,7,5
whale_64937,14,9
whale_14270,12,10
whale_58474,8,5
whale_21160,5,5
whale_13863,5,3
whale_51603,9,9
whale_38543,16,15
whale_29858,10,7
whale_88547,14,10
whale_07647,12,12
whale_94546,16,16
whale_24730,14,12
whale_58362,16,14
whale_21655,1,1
whale_74935,6,6
whale_79193,7,3
whale_69619,12,9
whale_43045,13,11
whale_92686,6,3
whale_84963,13,10
whale_11625,6,5
whale_66353,21,17
whale_34663,19,16
whale_45465,8,6
whale_44699,2,2
whale_64903,3,2
whale_52759,18,15
whale_55333,10,8
whale_53889,12,10
whale_78565,12,10
whale_14094,4,4
whale_57338,7,6
whale_51195,28,22
whale_41805,17,15
whale_86527,11,9
whale_45728,2,2
whale_32702,14,11
whale_45367,2,2
whale_55861,10,8
whale_98151,14,14
whale_14892,6,3
whale_68774,7,6
whale_73666,23,18
whale_21873,3,2
whale_08923,15,14
whale_22059,3,1
whale_67614,7,6
whale_76398,4,3
whale_33195,5,5
whale_13789,17,16
whale_11099,13,10
whale_25715,17,12
whale_88756,4,4
whale_10021,9,7
whale_17601,14,12
